"","cname","att_support","arms_export","arms_import","conflict","security_apparatus","aid","commonlaw","treaties","polity","refugee","cinc","threat","gdp","gov_eff"
"64","Gabon","Weak Support",0,4,0,5.06,0,0,127,3,14.7602339181287,0.000186,-0.021186959,9.01949897953978,-0.73356396
"65","Gambia","No support",0,0,0,3.98,0,0,92,-3.2,248.56570155902,0.0001077,-0.019588569,6.55487676402153,-0.90346164
"66","Georgia","Strong Support",2.6,15.33333333,0,2.96,0,0,146,7,3761.49473684211,0.000447,0.46608189,8.31577210670915,0.40468311
"67","Germany","Strong Support",1864.8,60.6,0.2,7.92,0.5378956,0,380,10,10.2605042016807,0.0179105,-0.69982427,10.7062841950952,1.7371173
"68","Ghana","Strong Support",0,16.33333333,0,5.98,0,0,145,8,281.003717472119,0.0012461,0.032099333,7.61767529921262,-0.25123566
"69","Greece","Strong Support",6,284.6,0,5.63622957093767,0.1343606,0,294,10,11.1904761904762,0.002971,0.23025236,9.89147072501075,0.25619912
"70","Grenada","Strong Support",0,0,0,4.4,0,1,60,NA,37.9459459459459,0.00000274,-0.79070848,9.13135739853592,-0.19617471
"71","Guatemala","Strong Support",0,18,0.6,2.81532677128127,0,0,139,8,1100.31527093596,0.0008498,0.65506023,8.27771185175175,-0.71100181
"72","Guinea","Strong Support",0,4,0.8,1.04,0,0,120,4,324.37181663837,0.0006508,0.38698834,6.61254240342793,-1.1424235
"73","Guinea-Bissau","Strong Support",0,0,0,1.2,0,0,80,5,65.4395604395604,0.0001168,0.51821637,6.46044379623051,-1.6131402
"74","Guyana","Strong Support",0,2,0,3.91464451643745,0,0,101,6.6,49.7922077922078,0.0000336,0.13965081,8.35793013181697,-0.33540627
"75","Haiti","Weak Support",0,0,0,2.4,0,0,96,2,900.119133574007,0.0005524,0.67083818,6.67340223537837,-2.016381
"76","Vatican City","No support",0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"77","Honduras","Strong Support",0,8,1,3.09361208257445,0,0,119,6.6,2903.81932773109,0.0005081,0.46891442,7.74724934766857,-0.82153916
"78","Hungary","Strong Support",0,15.75,0,7.38,0.1245588,0,378,10,151.366972477064,0.0011434,-0.74629772,9.51027019597022,0.49741441
"79","Iceland","Strong Support",0,0,0,8.94,0.2513538,0,128,NA,2.125,0.0000308,-1.3081645,10.9656523681088,1.4923415
"80","India","No support",43.4,2775.2,377.4,2.42,0,0,177,9,350.55900621118,0.0808987,0.94849336,7.4198871825131,0.09046378
"81","Indonesia","No support",39.2,718,0.8,3.79687591007203,0,0,131,8.8,387.055813953488,0.0144468,0.61506069,8.18099612573203,-0.24053334
"82","Iran","No support",17.4,89.4,7.2,2.26,0,0,125,-7,897.097087378641,0.0157625,0.92570174,8.60346039352308,-0.20882455
"83","Iraq","No support",0,1070,660.8,0.202727530546765,0,0,130,5.4,18547.6420395421,0.0062019,2.2603519,8.63570882585659,-1.2464466
"84","Ireland","Strong Support",2.6,33.6,0,7.96,0.3581488,1,185,10,6.31914893617021,0.0005377,-0.90845549,11.007572518285,1.5333488
"85","Israel","Weak Support",903.4,575.2,68.4,3.12,0.0819055,0,108,6,27.6146788990826,0.0042498,1.0949128,10.5339517630649,1.3880346
"86","Italy","Strong Support",673.2,438.8,0,5.48,0.230098,0,375,10,9.97196261682243,0.0128479,-0.3759197,10.3974335958486,0.44811019
"87","Jamaica","Strong Support",0,12.33333333,0,3.47180485971518,0,1,139,9,85.6564417177914,0.0001719,-0.096484482,8.50674108173112,0.24875952
"88","Japan","Strong Support",1.2,420,0,8.38,0.2112942,0,230,10,13.0125,0.035588,-1.0651277,10.5481492674338,1.7848125
"89","Jordan","No support",45.4,253.4,0.8,4.49827084907856,0,0,122,-3,42.2253829321663,0.0013935,0.60577857,8.31255713191534,0.12261171
"90","Kazakhstan","Strong Support",0,262,0,4.56,0,0,141,-6,63.1766467065868,0.003103,0.035000283,9.2864459547195,-0.073210396
"91","Kenya","No support",0,19.4,66.4,1.64,0,0,115,9,139.137019230769,0.0017948,1.2444056,7.24088168985137,-0.29414168
"92","Kiribati","Weak Support",0,0,0,NA,0,1,57,NA,2.83333333333333,0.00000242,-0.84356058,7.37875201493412,-0.48976177
